,animal_id_outcome,outcome_subtype,age_upon_outcome_(years),age_upon_outcome_age_group,outcome_monthyear,age_upon_intake,animal_id_intake,animal_type,breed,color,intake_condition,age_upon_intake_(years),intake_year,time_in_shelter_days,Adoption
35238,A705993,Partner,0.03835616438356165,"(-0.025, 2.5]",2015-06,2 weeks,A705993,Cat,Domestic Shorthair Mix,White/Black,Normal,0.03835616438356165,2015,0.06111111111111111,0
57381,A735804,Partner,0.07671232876712329,"(-0.025, 2.5]",2016-09,4 weeks,A735804,Cat,Domestic Shorthair Mix,White/Blue,Normal,0.07671232876712329,2016,0.11805555555555555,0
32483,A702647,Foster,0.2465753424657534,"(-0.025, 2.5]",2015-07,4 weeks,A702647,Cat,Domestic Shorthair Mix,Blue,Normal,0.07671232876712329,2015,58.92291666666666,1
37534,A709082,Partner,2.0,"(-0.025, 2.5]",2015-09,2 years,A709082,Cat,Domestic Shorthair Mix,Brown Tabby,Normal,2.0,2015,28.03333333333333,0
52087,A729023,Partner,0.1643835616438356,"(-0.025, 2.5]",2016-06,2 months,A729023,Cat,Domestic Shorthair Mix,Orange Tabby/White,Normal,0.1643835616438356,2016,14.368055555555555,0
60823,A740573,Foster,2.0,"(-0.025, 2.5]",2017-01,2 years,A740573,Dog,Pit Bull,White/Tan,Normal,2.0,2016,31.09375,1
74210,A759819,Foster,0.1643835616438356,"(-0.025, 2.5]",2017-11,4 weeks,A759819,Cat,Domestic Shorthair Mix,Brown Tabby/White,Normal,0.07671232876712329,2017,38.66388888888889,1
29800,A699289,SCRP,3.0,"(2.5, 5.0]",2015-03,3 years,A699289,Cat,Domestic Shorthair Mix,Blue/White,Normal,3.0,2015,0.9006944444444445,0
64443,A745924,Partner,1.0,"(-0.025, 2.5]",2017-03,1 year,A745924,Cat,Domestic Shorthair Mix,Calico,Normal,1.0,2017,4.2027777777777775,0
34470,A705081,In Kennel,0.03835616438356165,"(-0.025, 2.5]",2015-06,2 weeks,A705081,Cat,Domestic Shorthair Mix,Blue,Normal,0.03835616438356165,2015,1.8048611111111108,0
22262,A688927,Partner,0.07671232876712329,"(-0.025, 2.5]",2014-09,4 weeks,A688927,Cat,Domestic Shorthair Mix,Brown Tabby,Normal,0.07671232876712329,2014,0.04444444444444445,0
22898,A689756,Rabies Risk,2.0,"(-0.025, 2.5]",2014-10,2 years,A689756,Other,Skunk Mix,Black/White,Sick,2.0,2014,0.8604166666666667,0
26596,A694709,Partner,2.0,"(-0.025, 2.5]",2015-01,2 years,A694709,Dog,Chow Chow Mix,Red,Normal,2.0,2015,6.91875,0
