,animal_id_outcome,outcome_subtype,sex_upon_outcome,age_upon_outcome_(days),age_upon_outcome_age_group,outcome_monthyear,animal_type,breed,color,intake_condition,age_upon_intake_(days),intake_month,time_in_shelter_days,Adoption
35249,A706012,Partner,Unknown,21,"(-0.025, 2.5]",2015-06,Cat,Domestic Medium Hair Mix,Blue,Sick,21,6,0.11736111111111112,0
60571,A740215,SCRP,Intact Male,730,"(-0.025, 2.5]",2016-12,Cat,Domestic Shorthair Mix,Blue/White,Normal,730,12,0.6708333333333333,0
29515,A698868,Partner,Neutered Male,730,"(-0.025, 2.5]",2017-05,Dog,Boxer Mix,Brown/White,Normal,730,5,6.070833333333334,0
64521,A746044,Partner,Unknown,14,"(-0.025, 2.5]",2017-03,Cat,Domestic Shorthair Mix,Yellow/Orange Tabby,Normal,14,3,0.7951388888888888,0
56463,A734647,Partner,Neutered Male,365,"(-0.025, 2.5]",2016-10,Dog,Dachshund Mix,Tan/White,Normal,365,10,1.4097222222222223,0
16356,A681256,Partner,Spayed Female,90,"(-0.025, 2.5]",2014-06,Dog,Collie Smooth Mix,Tricolor,Normal,90,6,12.008333333333335,0
38631,A710654,Partner,Intact Female,28,"(-0.025, 2.5]",2015-09,Cat,Domestic Shorthair Mix,Blue Tabby/White,Normal,7,8,20.075694444444444,0
16185,A681015,Partner,Neutered Male,60,"(-0.025, 2.5]",2014-06,Cat,Domestic Longhair Mix,Black/White,Normal,60,6,4.199305555555555,0
50910,A727495,Partner,Intact Male,730,"(-0.025, 2.5]",2016-05,Dog,Lhasa Apso Mix,Tricolor,Normal,730,5,3.31875,0
12384,A676165,Rabies Risk,Unknown,270,"(-0.025, 2.5]",2014-04,Other,Raccoon Mix,Gray/Black,Sick,270,4,0.05486111111111111,0
21743,A688274,Offsite,Spayed Female,60,"(-0.025, 2.5]",2014-09,Dog,Chihuahua Shorthair Mix,Sable/White,Normal,60,9,3.19375,1
75102,A761116,Rabies Risk,Unknown,365,"(-0.025, 2.5]",2017-10,Other,Bat,Red,Normal,365,10,0.7638888888888888,0
1721,A597304,Partner,Spayed Female,2920,"(7.5, 10.0]",2016-11,Dog,Cocker Spaniel,Black/White,Normal,2920,11,8.06875,0
26062,A693992,Partner,Intact Female,180,"(-0.025, 2.5]",2014-12,Dog,Anatol Shepherd/German Shepherd,Tan/Black,Normal,180,12,12.047222222222226,0
16057,A680857,Partner,Unknown,14,"(-0.025, 2.5]",2014-06,Bird,Duck,Yellow/Black,Normal,14,6,0.5138888888888888,0
53701,A731136,Partner,Intact Male,2,"(-0.025, 2.5]",2016-07,Dog,Jack Russell Terrier Mix,White/Brown,Pregnant,0,7,2.2270833333333333,0
20836,A687097,Partner,Intact Female,1095,"(2.5, 5.0]",2014-09,Dog,American Staffordshire Terrier Mix,Brown Brindle/White,Normal,1095,8,8.155555555555555,0
18675,A684307,Partner,Intact Male,365,"(-0.025, 2.5]",2014-08,Dog,Miniature Schnauzer Mix,White,Normal,365,8,2.095138888888889,0
63795,A744953,Partner,Spayed Female,365,"(-0.025, 2.5]",2017-03,Dog,German Shepherd Mix,Brown/Black,Normal,365,3,9.589583333333334,0
39708,A711959,Rabies Risk,Unknown,180,"(-0.025, 2.5]",2015-09,Other,Bat Mix,Gray,Normal,180,9,0.0625,0
11723,A675120,Aggressive,Intact Female,365,"(-0.025, 2.5]",2014-03,Dog,Pit Bull Mix,Brown Brindle/Black,Normal,365,3,3.902083333333333,0
